	pseudo1	pseudo2	pseudo3	pseudo4	pseudo5	pseudo6	pseudo7	pseudo8
CD55	4656	581	3624	838	5557	2767	17548	1631
CD59	8174	1674	8747	3262	28016	2946	6028	4417
CD6	40	130	154	197	47	10	73	69
CD63	71923	14243	36443	23898	52109	73671	54112	27228
CD68	3104	5927	4044	7899	1479	548	6900	7895
CD69	473	2028	1253	5233	219	199	777	502
CD7	218	816	1058	1408	116	792	502	631
CD74	47605	25780	53822	60996	5698	12049	49976	30430
CD79A	159	94	1498	557	63	120	31	376
CD79B	94	114	649	523	47	32	53	189
CD82	1966	426	1362	595	2679	965	782	803
CD83	1568	889	678	2903	483	198	4821	1755
CD8A	85	845	531	233	92	14	49	53
CD9	16681	1808	7479	4211	19976	16805	7151	3346
CD93	46	174	85	412	50	73	458	623
CD96	73	133	778	228	41	14	33	49
CD99	4667	1942	1731	2655	14683	3321	12275	4781
CDC42EP3	258	240	580	342	1928	412	1368	638
CDC42SE2	837	519	782	759	1052	2435	2948	525
CDH1	1541	85	1924	126	9468	3103	3574	608
CDH11	39	283	307	44	9	3092	298	443
CDH5	39	8	7	1	49	16	219	80
CDKN2A	54	431	99	105	10	259	982	4625
CEACAM5	4377	0	693	0	2560	1047	15015	31
CEACAM6	3491	42	5805	235	13484	15695	24542	1341
CEBPB	2775	3032	970	3173	5956	4470	6702	4740
CEBPD	3397	1665	1248	2929	1288	30616	11036	3487
CFD	1587	2017	1409	2676	438	1940	4144	1839
CFH	307	896	334	160	21	1537	1109	1100
CHI3L1	933	14	32	61	951	6	830	573
CKB	1972	428	298	546	1546	47	5413	1523
CKLF	1789	1077	2886	3944	14528	3126	8948	3822
CLDN3	8581	177	1780	57	15743	3846	7819	1988
CLDN4	20166	1077	3719	643	35472	21906	12276	2271
CLDN5	519	52	22	0	32	277	5817	1079
CLDN7	5743	708	1751	229	18107	4091	11054	2911
CLEC10A	215	252	228	622	2	31	228	260
CLEC11A	495	439	555	331	965	474	1730	1090
CLEC14A	59	39	10	4	16	92	646	168
CLEC2B	951	1154	821	1932	967	3019	1326	1490
CLEC2D	111	267	569	350	344	336	243	247
CLEC7A	349	772	287	1533	650	153	915	1134
CLEC9A	24	18	30	13	0	7	11	18
CLIC1	17306	5080	8263	7841	29225	16475	28241	13723
CLU	5992	2303	6879	4721	271	8971	767	600
CMC1	1231	461	1620	1284	1300	1843	5462	1011
CMTM6	1520	643	1745	1441	1395	2560	2683	1414
CNIH1	1938	690	1756	1054	10268	4400	1653	1347
CNN1	19	2	3	1	0	0	54	25
CNN3	869	469	885	158	4402	1042	1249	1073
CNOT6L	269	199	273	307	306	471	700	197
CNRIP1	84	140	437	199	5	35	183	211
COL13A1	20	38	36	4	8	9	32	123
COL14A1	21	27	3	5	54	34	85	43
COL1A1	886	6068	425	549	25888	1193	3851	18231
COL1A2	605	4260	278	302	107	157	3342	8694
COL3A1	494	4313	245	307	45	93	2438	11988
COL4A1	256	444	43	26	142	267	2796	1010
COL4A2	214	371	45	23	541	204	2324	1050
COL5A1	47	200	14	29	334	81	169	1039
COL5A2	274	246	27	10	16	36	385	877
COL6A1	503	1020	105	86	2968	368	696	1451
COL6A2	469	1317	70	83	2630	107	1038	1864
COL6A3	111	535	31	47	18	5	216	1205
COL8A1	28	85	383	2	26	459	113	162
CORO1A	1919	2461	3459	4782	1092	1029	2015	3278
CPA3	14	55	4159	583	0	4	14	0
CPM	2221	881	3430	1742	2696	540	1821	1180
CPVL	529	787	540	1081	334	192	575	1104
CRABP2	11790	116	5109	28	20945	3732	9606	5951
CRBN	343	252	563	529	767	1263	752	418
CREG1	1507	3165	2657	3562	3687	1592	4489	2579
CREM	1233	559	692	1577	486	484	2082	1738
CRIP2	5171	401	277	1174	12654	2906	2475	2828
CRISPLD2	92	65	48	27	448	23	215	398
CSF1	56	171	156	201	24	148	347	364
CSRP1	1826	467	1080	626	1376	677	2501	1080
CST3	45184	12440	23791	24529	80757	21517	51708	29900
CST6	92	49	73	128	116005	63	42	1519
CST7	163	705	1214	1565	1003	31	148	263
CSTA	268	1023	650	1763	173	49	5615	1766
CSTB	15089	12193	18461	22255	109352	23735	18654	20006
CTD-3252C9.4	643	232	179	875	955	1252	1392	549
CTGF	1018	350	289	56	98	197	1321	1265
CTHRC1	202	783	54	35	2345	141	1036	4531
CTNNAL1	1095	122	846	64	438	492	809	347
CTNNBL1	698	318	959	439	2032	454	774	794
CTSB	4726	20051	11528	18863	7130	16188	15835	25524
CTSC	1984	3864	4584	3661	17893	5185	8964	6652
CTSD	17757	22155	32358	23453	15663	12315	31815	25027
CTSG	1	3	180	31	0	0	13	3
CTSH	1699	1580	4928	3320	4070	2010	7611	2245
CTSK	142	245	89	354	82	110	283	788
CTSL	1891	7865	2827	7205	2983	1498	4156	9325
CTSS	2875	3742	3746	5580	2950	837	3810	5209
CTSW	177	545	694	755	80	18	59	182
CTSZ	7730	3593	2219	5562	4700	6574	14026	7728
CXCL12	119	851	52	50	5	629	295	1282
CXCL16	2142	823	1610	2108	1788	1321	2132	1770
CXCL17	4451	48	6878	1321	3901	4071	22186	3107
CXCL2	3962	4362	2465	5906	2373	16532	18867	8740
CXCL3	2338	3311	1346	5331	549	2423	4005	6313
CXCL8	9003	13001	6746	27466	9029	8034	9121	13997
CXCR4	1701	3602	2717	8068	437	727	2536	2068
CXorf36	26	6	7	6	3	22	210	134
CYB5A	4527	1724	8503	2031	5653	27336	6600	7180
CYBA	15982	8866	10835	16866	43717	15878	25095	22163
CYBB	242	604	384	772	99	96	824	1012
CYP1B1	311	1588	527	153	1413	334	302	2134
CYR61	538	441	671	118	2510	469	1280	1746
CYTIP	297	623	665	1270	155	167	548	552
CYYR1	20	6	7	12	4	32	256	62
DAB2	732	1388	503	2186	64	1932	1358	2167
DCN	2882	8036	446	119	89	187	3869	16469
DDAH2	2971	707	912	1169	2204	1463	4297	1888
DDIT4	1639	1972	2555	3130	19359	1323	6047	2568
DDX24	1411	756	1247	1691	5739	1941	2353	1549
DERL3	196	112	2014	90	287	453	2464	461
DHCR24	2186	216	2545	294	1718	1858	5443	1377
DKK3	321	126	51	59	23	17	226	296
DMKN	21	18	1354	175	5702	2177	220	1513
DNAJB1	2976	1885	10333	4225	7404	4013	15569	7319
DNAJB9	1482	754	1617	809	1649	2429	3541	837
DNASE1L3	18	6	10	13	18	8	23	12
DPT	2	50	2	0	0	0	4	110
DRAM2	1854	699	899	1152	2025	637	1156	1174
DSTN	7866	1706	7577	2198	37772	24793	21919	3763
DUSP1	12593	8873	5640	23328	12672	19932	31915	14068
DUSP10	276	168	254	393	568	494	2532	389
DUSP2	1317	2155	849	4973	414	204	5376	1896
DUSP4	294	500	290	526	243	10281	968	827
DUSP6	6119	778	2104	1063	7063	5253	7219	1380
DYNLL1	15945	4511	7022	6908	26702	29435	25911	13294
ECSCR	63	27	17	2	30	74	482	449
EEF1A1	99161	47484	87282	91903	161707	142246	135962	88011
EEF1B2	11536	6199	9170	12813	37101	31344	35322	14905
EEF2	10590	5658	10063	8570	24472	15378	27897	9512
EFEMP1	46	538	416	40	135	122	93	1072
EFEMP2	1393	238	28	47	195	1097	356	788
EFNA1	1292	208	2166	336	12363	4194	5829	1045
EFNB2	28	70	569	48	1510	866	419	58
EGFL7	2771	103	172	88	2580	5587	3046	369
EGR1	3527	2699	2344	4447	5338	1965	13024	4316
EIF1B	1444	1212	1506	1937	2561	2413	2715	1242
EIF3E	4932	3750	7071	4865	17578	24876	5020	4416
ELF1	1055	654	940	1357	1696	1169	1559	938
ELF3	19259	513	4924	719	20944	45287	31586	4665
ELL2	416	612	595	908	1713	4264	2064	968
ELN	74	29	3	6	19	56	71	90
EMB	246	385	470	657	2500	463	1569	522
EMCN	22	11	10	1	12	24	247	50
EMILIN1	54	162	20	28	47	21	212	444
EML4	2487	294	969	569	3466	2968	2497	895
EMP1	315	448	382	522	3098	1112	434	938
EMP2	9121	229	2295	141	8911	36449	5643	1361
EMP3	2412	2199	2954	4381	5151	1022	2960	6089
ENG	454	663	355	656	293	438	1272	1866
ENPP2	128	401	110	460	1	27	202	132
EPAS1	1093	289	483	238	942	1921	2247	924
EPCAM	19819	707	4489	482	35439	15838	24877	3561
EPS8	1449	382	1173	314	701	5597	3290	603
EREG	262	713	215	2212	1921	23	401	2878
ERRFI1	669	707	967	190	3944	5458	4229	899
ESAM	400	26	861	0	32	259	1559	311
ETS1	90	172	139	409	255	95	283	111
ETS2	903	556	1672	694	1719	1775	2471	1128
EVI2B	548	742	1480	1483	138	162	818	1165
EVL	921	901	1160	1541	916	584	718	659
EZR	4384	654	1414	950	8475	2681	3893	2227
FABP4	319	87	558	8	16	0	357	1402
FABP5	4762	3866	3346	7171	2165	337	11070	14912
FAM167B	24	2	12	3	21	31	98	50
FAM177A1	26451	794	1400	1749	10152	7660	82859	3036
FAM43A	394	148	123	187	275	43	318	217
FAM46A	796	265	526	399	2313	798	1376	993
FAM46C	271	189	471	521	791	1492	353	157
FAU	30706	17876	27047	28556	82982	43911	58222	34100
FBLN1	340	1812	104	36	1619	40	616	4144
FBLN2	152	429	57	23	234	0	64	1947
FBLN5	671	149	99	201	62	158	191	581
FBP1	2102	719	2241	931	979	3353	2900	1923
FCER1A	67	19	420	436	1	40	77	16
FCER1G	2644	9022	4862	17284	805	1298	9430	14813
FCGR2A	559	1155	934	2339	775	289	4081	2941
FCGR3A	614	2908	692	2869	319	305	2880	3493
FCGRT	5370	4443	3264	6301	3538	3115	7956	6015
FCN3	15	1	4	0	14	48	40	27
FCRLA	18	3	104	43	2	5	6	9
FGF7	57	63	31	32	34	82	24	113
FHL1	82	106	141	126	142	13	245	121
FKBP11	1857	519	2772	445	885	1768	5586	1524
FKBP1A	4781	2061	4293	3160	12229	8365	9539	6251
FLT1	158	72	53	70	24	197	537	149
FMO2	23	142	10	1	0	1	11	56
FN1	1016	4145	1898	1969	977	645	5347	20314
FNBP1	400	730	454	1296	1141	772	1157	712
FOLR1	7378	4	1592	0	1390	23	1475	62
FOLR2	720	1114	177	1419	38	75	1601	944
FOS	16406	11297	9446	22380	40767	10333	24442	16529
FOSB	4801	2629	3051	6242	10968	3322	12764	5744
FOXJ1	171	5	146	24	34	487	225	251
FOXP1	1222	361	1805	1059	692	3079	2513	926
FRZB	594	368	94	20	9	57	796	727
FSCN1	181	388	188	692	2275	155	446	1910
FSTL1	374	269	92	30	750	75	599	1064
FTH1	251720	154794	230318	262509	187893	1069542	452528	309302
FTL	293933	435846	474967	592859	84222	928309	500274	605422
FXYD1	53	89	42	92	16	45	89	149
FXYD3	3919	230	6727	753	5039	3900	11900	9043
FXYD5	3701	1724	5010	5481	15715	1463	6099	5292
FYB	522	1331	777	2313	2272	243	881	1533
FYN	236	297	505	513	478	172	509	265
G0S2	3419	1435	948	4989	2021	405	3831	5137
GADD45B	3698	3183	3864	6176	3645	3799	8833	4966
GALC	187	186	228	291	969	137	215	285
GAS6	214	322	661	769	208	105	541	488
GATA2	77	10	540	257	229	316	213	176
GATA3	47	104	94	121	20	2605	102	35
GCHFR	3342	800	1581	1302	3112	2777	2386	2614
GCSAML	0	0	115	28	0	1	1	2
GDF15	4034	282	1191	500	2153	11652	18139	2059
GIMAP4	154	452	526	574	70	125	629	813
GIMAP7	81	422	469	403	38	94	534	384
GJA1	13	49	656	45	1	324	204	231
GLRX	1652	2282	1647	3151	1372	13329	4562	2999
GLTSCR2	4460	2964	5265	6045	13687	7482	8874	3922
GLUL	6367	8738	8349	11365	3802	5036	40741	13237
GMFG	1032	1848	2254	3378	281	306	2137	3279
GNG11	215	280	202	18	34	252	3501	795
GNG2	86	200	240	415	163	28	240	287
GNG7	353	453	420	923	364	208	118	190
GPC3	66	14	31	0	137	17	4670	87
GPIHBP1	34	11	1	18	0	1	49	1
GPNMB	2369	3298	3054	7218	948	1691	2209	3521
GPR183	1650	873	731	5124	157	267	2531	1961
GPR65	151	448	461	774	52	75	336	505
GPRC5A	4360	195	1783	214	8516	2291	3552	593
GPX1	17782	15141	18445	34266	14863	20469	32412	35104
GPX3	2979	425	213	292	3058	1217	372	511
GRAP2	14	80	410	176	19	13	39	25
GRN	6475	4998	5743	7635	10348	5273	12201	6826
GSN	3251	3337	2146	4449	11047	858	12929	3833
GSTO1	3776	2635	2422	4851	4865	2399	5693	6354
GSTP1	44544	5150	22594	7961	26767	78559	86265	16233
GYPC	995	1133	1622	2929	68	304	1093	2073
GZMA	419	1528	1927	1445	195	129	166	325
GZMB	125	1738	441	1510	239	51	145	293
GZMH	123	1039	637	976	144	30	78	127
GZMK	171	813	1405	467	28	18	81	104
GZMM	366	191	328	506	251	16	35	71
H3F3B	39535	8709	17933	18086	48907	52428	28702	24505
HCST	662	2263	2166	3846	256	179	1275	2706
HDC	1	3	130	49	3	0	6	2
HEG1	125	107	43	107	108	38	286	318
HERPUD1	4180	2404	4564	3287	7465	4678	10970	3622
HES1	2801	495	984	452	10284	4599	4863	1889
HEXB	1920	1116	1316	2050	1178	2064	5435	1867
HLA-A	26601	22668	28060	30043	94998	5762	35403	36058
HLA-B	23943	26030	25731	26070	80422	8979	35940	24615
HLA-C	32286	17939	24604	20641	57735	6367	47232	23307
HLA-DMA	6414	2962	4054	4628	1011	824	4581	3051
HLA-DMB	3112	1551	1721	3466	553	479	3432	1706
HLA-DOB	29	20	233	64	66	22	47	55
HLA-DPA1	18208	8044	11791	22298	1583	2703	13720	6302
HLA-DPB1	13791	8684	14267	24669	1532	3294	14701	7911
HLA-DQA1	2994	3189	3573	6997	455	1093	7440	3702
HLA-DQA2	1880	3839	55	48	220	22	30	15
HLA-DQB1	9245	2947	8344	9332	10410	963	6544	5963
HLA-DRA	31128	19739	27847	48890	4569	6842	27701	20086
HLA-DRB1	10882	8110	25483	33036	1708	3240	17811	10239
HLA-DRB5	6104	6740	135	242	329	7	62	43
HLA-E	5201	5864	6500	7630	14026	3480	9822	6928
HLA-F	420	1016	1033	915	2964	229	1536	755
HMGB2	1387	1311	1330	1590	4298	903	3912	3030
HMOX1	995	18806	6551	16177	485	295	992	2077
HOPX	1000	2482	9936	743	3685	1364	7208	943
HPGD	2219	124	1220	1353	3493	195623	15002	219
HPGDS	100	103	1960	498	17	56	268	64
HSD17B12	1795	461	1138	711	2025	3624	2781	834
HSPA8	12917	7170	4936	7413	23239	34168	24591	9054
HSPB1	25108	5732	20230	8286	44278	40182	44469	11390
HSPG2	480	117	449	17	358	129	1177	437
HTRA1	334	500	302	1171	99	215	698	2039
HTRA3	39	118	8	13	108	10	82	419
HYAL2	1133	218	294	137	568	1502	1910	612
ICAM2	238	107	438	222	28	81	433	428
ICAM3	638	453	1451	1067	1109	731	1419	547
ICOS	45	150	136	301	33	16	68	53
ID1	887	1521	423	1374	3050	15999	3446	1565
ID2	3378	3940	2803	5844	3080	1113	3710	4251
ID3	575	626	598	711	1031	5503	5725	2718
IER2	8255	4359	5240	11128	10262	5481	15266	5797
IER3	5506	4146	2744	11250	10170	5050	12736	8791
IFI27	1155	2268	16637	861	25398	421	46300	43275
IFI30	187	1009	284	902	174	208	728	1146
IFI6	1787	1764	7251	5037	5320	355	17559	16662
IFITM2	3597	1965	2949	4455	2305	14340	4624	5794
IFITM3	8028	6874	6491	5940	9153	15846	22129	31403
IFT57	1674	192	582	282	1016	778	1111	1347
IGF1	69	104	50	233	19	49	267	157
IGFBP3	98	22	24	28	1820	54160	434	933
IGFBP4	1479	1171	1269	183	2063	1813	1892	4670
IGFBP5	408	361	42	390	108	31044	821	334
IGFBP6	350	836	785	88	195	338	1311	2257
IGFBP7	5947	8769	1621	652	3699	2525	23450	29249
IGHA1	1272	9335	143100	1595	43	13465	8	25124
IGHA2	196	2850	11144	347	4	19	0	3575
IGHG1	4157	12440	153334	2848	49	7698	2116	45450
IGHG3	1938	16109	305874	3884	5	11487	4569	30116
IGHG4	587	6350	173763	689	58	3174	1751	14482
IGHM	7266	27	23880	164	16	1475	98	111
IGKC	19109	73117	838049	6241	278	72139	62	178329
IGLC2	36760	18	456228	13532	3	50381	8916	91560
IGLC3	2098	21	232764	6120	79	10253	151	72446
IGSF6	547	588	461	1286	99	282	1292	918
IL18	431	793	787	1509	1127	151	714	733
IL1B	3450	1931	734	8109	356	245	3002	4389
IL1RL1	5	83	208	76	399	9	34	23
IL1RN	316	233	178	834	315	47	552	1700
IL2	1	0	5	6	4	8	7	3
IL2RA	57	112	124	244	48	32	1006	136
IL2RG	250	516	1249	1057	108	57	257	391
IL32	2169	3907	5251	3750	2991	300	4856	4484
IL33	8	4	37	73	10	5	33	25
IL3RA	17	43	17	37	16	16	73	64
IL7R	110	290	651	1184	353	52	183	780
INMT	13	30	16	6	2	1	13	144
INPP5D	110	167	244	545	929	45	366	309
INSR	544	147	455	198	464	567	1818	335
IRF1	791	1651	1355	1903	2555	987	5178	1012
IRF4	9	72	78	60	13	4	13	26
IRF8	201	473	471	615	47	71	493	496
ISG20	1705	891	2255	1403	2139	1839	7939	1978
ISLR	247	613	48	18	4	1	251	1409
ITGA3	431	178	656	152	9026	658	986	724
ITGBL1	35	139	8	10	19	0	59	365
ITM2A	1330	784	927	404	57	237	2024	554
ITM2C	5954	610	2440	834	6266	1210	4335	1389
JAM2	48	42	9	25	10	22	218	121
JCHAIN	4107	2497	17069	541	4	1909	70	2897
JUN	15612	7149	11734	18100	22015	29416	28331	11035
KDM6B	742	391	499	1033	1363	324	1834	855
KIT	3	4	286	72	3	190	484	17
KLF2	601	375	123	851	583	65	2843	719
KLF4	1089	1126	391	2141	3170	1013	4902	1658
KLRB1	203	278	1282	2464	76	148	231	700
KLRG1	27	55	315	136	17	7	24	42
KMT2E	1880	790	1975	1504	4156	5570	2545	1203
KRT18	23676	2450	7093	741	85472	31161	38920	7437
KRT19	21319	6189	8547	184	211293	24402	19765	6554
KRT7	7394	5736	3140	662	60217	4172	13359	4763
KRT8	23169	1532	5036	629	48005	18575	29035	5065
LAG3	62	415	199	103	38	34	118	66
LAPTM4A	10194	1989	6199	2697	9066	9887	8914	3927
LAPTM5	2422	5461	5950	11682	1590	845	5825	11244
LAT	123	288	893	492	117	86	101	184
LAT2	322	276	587	845	311	638	525	600
LBH	413	206	361	320	1110	605	1258	397
LCK	180	544	657	804	107	47	143	234
LCN2	868	525	1185	72	985	5583	5541	12086
LDB2	21	19	10	8	7	17	200	90
LEO1	224	115	162	206	538	1509	572	231
LEPROTL1	722	594	1078	1232	1269	3824	1346	1306
LGALS1	7243	15108	11147	31188	24671	27329	28339	54696
LGALS3	22001	5414	4802	8221	162080	27539	20588	9531
LGALS3BP	8973	1778	6410	1987	16320	6943	14636	4341
LGMN	3028	2310	1962	5384	11317	2292	4841	6170
LHFP	620	321	77	53	82	88	756	465
LIFR	79	80	613	69	336	253	845	164
LILRB4	473	977	489	1648	95	179	958	1072
LIMD2	1834	784	1248	1237	201	1938	825	948
LINC00152	1021	1449	1568	1750	5288	1254	5647	2290
LINC01272	308	845	967	740	160	16	1218	1381
LIPA	1148	2318	1546	2039	1019	292	1432	1631
LMCD1	149	94	98	63	590	160	375	276
LMNA	4959	1686	3792	2578	41848	7418	14398	5763
LMO2	162	114	43	229	26	174	769	306
LMO4	604	552	554	975	1119	1287	4113	985
LMO7	1284	141	1190	111	5413	1577	559	419
LOXL1	1150	90	16	19	210	2379	220	236
LPCAT1	863	414	4294	937	3991	28314	6542	1948
LRP1	732	676	336	589	462	488	713	1248
LSM7	2297	1067	2434	1875	6377	3583	9077	2717
LSP1	732	1252	2335	2924	399	221	1273	1481
LSR	1624	238	1169	155	3702	2075	4161	1168
LST1	790	1151	1592	2961	550	211	2492	3383
LTB	707	446	2946	2064	307	201	852	855
LTBP1	344	49	15	13	14	362	800	205
LTBP2	49	163	20	34	515	41	113	346
LTBP4	240	136	291	91	1115	211	735	213
LTC4S	919	161	1139	743	827	155	793	247
LUM	506	2693	93	45	112	34	743	3454
LY6E	7641	3133	5622	3435	13427	70891	14358	9499
LY86	649	679	569	2245	92	167	883	860
LY9	22	53	135	149	16	10	12	28
LY96	1513	1335	2548	2388	3368	2518	1583	3036
LYN	441	564	694	1002	1257	1746	1461	1263
LYZ	7371	2909	2993	8857	2256	264	30238	7140
MAF	240	597	260	605	4785	376	655	521
MAFB	739	2561	720	2670	2867	730	1742	2912
MAL2	2554	771	4116	211	24352	31563	3156	1444
MALL	10002	58	2034	197	3901	2509	2686	949
MAOB	4	10	523	75	10	12	30	2
MARCKS	3171	1781	574	2593	4416	6922	3359	3084
MARCKSL1	12158	2034	3421	3093	9415	16077	12382	4321
MARCO	246	2521	401	753	95	6	744	1520
MCAM	36	133	23	59	213	209	587	193
MCEMP1	6	80	64	95	27	11	915	845
MDK	20949	1083	1802	1042	12872	31853	36308	8653
MEF2C	214	370	519	1029	78	113	990	694
MEG3	69	235	187	23	315	26	394	461
MET	602	243	1019	89	945	2359	1117	133
MFAP4	61	212	6	4	25	0	20	197
MFGE8	375	393	140	87	2191	156	2927	1019
MGLL	583	565	288	906	2998	8868	8636	1856
MGP	2527	4329	11097	1505	287	2843	14092	12869
MGST1	15154	5147	10913	1610	17467	60834	3803	3492
MGST2	3189	599	1025	1100	3028	1927	6228	1469
MITF	279	212	228	301	113	226	878	283
MLPH	2029	87	2209	305	4208	2140	3545	1123
MMP2	141	406	52	211	46	24	236	1128
MMP23B	32	18	14	16	36	0	53	147
MMP7	3682	7	2742	100	8757	12258	1773	465
MMRN1	3	0	4	5	6	14	48	40
MMRN2	17	10	3	3	45	11	112	29
MNDA	258	880	489	1574	93	114	1179	1231
MRC1	283	959	367	405	17	27	1569	928
MRPL14	4908	794	2993	1095	8072	5191	10413	3350
MS4A1	69	11	405	162	17	15	6	23
MS4A2	14	17	1992	336	0	2	14	0
MS4A4A	1132	2004	1027	2227	49	159	2684	3388
MS4A6A	1862	3075	1701	4969	182	515	4766	5641
MS4A7	1181	1584	520	2534	117	414	2427	2837
MSR1	281	800	316	1564	65	169	800	1655
MSRA	208	135	296	530	607	905	618	292
MT-ATP6	160270	26965	35825	55037	269178	278443	267108	105240
MT-CO2	478160	32877	58600	101887	517946	417054	390112	250366
MT-CO3	303958	42912	52690	97694	341416	377429	407271	160760
MT-CYB	237563	19062	29511	40445	228575	244421	175817	87240
MT-ND1	245071	34104	34348	47324	423137	251038	256246	75256
MT-ND2	240390	34637	42387	53290	421489	315238	246616	86593
MT-ND4	330804	28826	49249	70374	500176	274125	283891	117247
MT2A	4535	30335	32595	47411	69873	11268	17317	48042
MUC1	6422	936	9895	1414	19393	20289	21379	3107
MXRA8	130	349	28	9	7	95	431	404
MYADM	308	628	495	907	869	407	3066	743
MYH9	1209	756	932	1116	10500	3757	3978	1772
MYL9	1264	738	238	110	1045	163	2336	2348
MYLK	244	414	128	1627	305	76	281	297
MYO6	982	160	1125	164	3256	2129	1298	569
MZB1	329	655	6971	161	6	408	47	1874
NAMPT	1735	2785	2315	5533	7028	16372	6780	4503
NAPSA	604	362	38408	697	20870	4427	14403	1169
NBL1	2168	912	93	29	205	721	1267	1352
NCAM1	72	133	46	272	0	67	826	20
NCF1	302	612	923	853	426	78	797	592
NCF2	276	482	298	817	219	256	722	1070
NCOA7	2142	292	301	464	501	1234	3948	2214
NDRG1	5664	797	4249	1325	4430	25972	1209	2320
NEAT1	73308	13988	30191	27868	44058	122324	109688	42359
NFE2L2	1499	794	1179	1163	2198	2722	2894	1451
NFIB	3978	156	334	107	543	1322	803	883
NFKBIA	59579	7402	6550	21588	19913	19614	217025	17550
NFKBID	428	173	192	579	175	103	561	448
NFKBIZ	2847	980	1267	2200	1368	2719	12021	2064
NGFRAP1	17263	1269	2228	1910	8111	2213	2935	5761
NKG7	293	3673	1380	3831	603	74	325	762
NKX2-1	3409	90	2612	53	3975	2642	3376	574
NNMT	165	1178	27	1539	436	3485	2147	3636
NOSTRIN	198	22	24	0	39	269	458	94
NOTCH4	52	25	16	36	20	41	295	47
NPC2	25181	10814	112862	22281	58756	30626	19122	24558
NPDC1	2407	131	644	411	892	9076	7566	638
NR3C1	361	395	567	569	802	1055	2117	686
NR4A1	1451	445	534	1453	665	562	2442	1580
