	pseudo1	pseudo2	pseudo3	pseudo4	pseudo5	pseudo6	pseudo7	pseudo8
RPL13A	82652	37261	87349	81750	209725	144644	175908	86942
RPL17	942	3239	3178	2856	1805	2085	4480	2689
RPL18	25815	14794	31327	30300	129484	51499	69666	32366
RPL18A	40751	21439	53899	42041	140729	57127	129661	63967
RPL19	68922	25225	43115	47145	208904	78682	107859	64273
RPL21	59117	26878	58952	58406	98204	44726	66295	56870
RPL22	19564	11206	21327	21028	55708	29539	28107	23056
RPL22L1	2272	1805	944	2144	6935	2518	11479	6040
RPL23A	45525	27268	49313	43530	152131	96073	105728	52388
RPL26	36690	28540	44118	44433	141784	25317	117508	49591
RPL3	48879	21498	32934	41430	133754	79674	100127	43426
RPL30	36463	21161	38851	41882	154594	122833	50955	38933
RPL31	41565	18594	36084	33896	113113	29260	73783	34760
RPL32	42112	24280	51892	55754	76703	91784	125468	61603
RPL34	47923	30167	44510	54686	100133	49541	129734	44551
RPL35A	45703	23783	28246	32125	67056	44924	83191	45159
RPL36A	3765	9209	11384	6958	22181	4289	16660	5944
RPL37	18780	33599	30832	41608	193707	36591	142171	37136
RPL39	33134	32652	52971	46754	164585	30333	98563	44566
RPL4	14863	7116	12038	14791	33768	39713	50030	16861
RPL41	73151	55270	99991	60601	128373	59088	215936	65771
RPL5	20257	12933	15896	21277	66537	38432	30316	24257
RPL8	63225	30829	40580	36518	78444	204582	69677	50289
RPL9	64605	23442	40222	42745	201458	173463	66562	44268
RPLP2	56102	28907	54208	60783	157815	83187	144599	71817
RPS10	9024	14698	17247	19218	33582	9479	55260	15962
RPS11	19799	14246	25050	31294	97548	41718	75741	30358
RPS13	67185	16458	33823	35506	94588	53824	72325	42283
RPS15A	66016	25195	60090	47658	116518	76728	102096	50376
RPS17	24612	20128	26664	41109	114659	47742	108113	45558
RPS18	90296	50976	66911	81788	397036	130508	238196	111715
RPS20	38840	17490	42576	44115	143182	145150	50256	51472
RPS21	12118	14986	24187	16579	100457	16694	110115	26786
RPS23	40616	24737	34750	59392	158715	91466	199589	52816
RPS25	49305	22476	43858	34945	124919	63381	70084	36600
RPS26	18983	4035	25568	6603	17746	9132	24464	17829
RPS27	41551	45731	106770	72213	204844	84248	153689	70104
RPS27A	91835	26510	49499	53849	191055	94763	119921	67394
RPS28	19174	24394	43319	42364	74383	27095	99200	31029
RPS29	19873	25847	35233	43338	202461	40967	38297	35009
RPS3A	61213	27013	40686	50596	165149	117547	95753	50974
RPS5	28451	12540	37918	23619	102190	57537	72188	39144
RPS6	60621	25627	41963	50616	79011	77200	111126	68476
RPS8	41596	19734	39580	38461	104005	87721	108096	43172
RPSA	11955	10112	20775	22100	59203	71172	69315	22379
RUNX3	123	440	197	550	186	59	340	206
S100A10	12537	6734	34604	17309	255738	43102	29751	35312
S100A11	16226	12151	27749	25370	158291	61785	133132	50121
S100A13	5226	1189	1937	2159	35625	4780	24514	6708
S100A14	8340	957	1618	1295	59341	455	11285	4318
S100A16	6512	777	902	1153	53267	7682	8258	5693
S100A2	1234	910	241	2475	36124	348	467	383
S100A6	82812	32954	70810	49003	1103961	69364	277760	77931
S100A8	285	4935	4645	33239	1573	2641	2636	10086
S100A9	1703	10769	6154	64618	22273	269275	6911	56693
SAMHD1	336	633	584	1085	524	160	997	2515
SAMSN1	455	1080	1623	2273	126	92	949	1349
SARAF	3604	2514	4964	4904	3479	23039	4936	3462
SAT1	32127	18062	11681	33405	93433	28666	55647	47290
SCGB1A1	25	0	0	1	0	0	1	0
SCGB3A1	811718	42	155	42	4	13	850	227
SCGB3A2	1	2	1875	1	6	5	166	1
SDC1	2649	104	2826	102	6432	5265	3927	1280
SDC4	2969	654	4894	546	6280	1597	8002	654
SDCBP	2954	2623	3553	4609	2832	7666	5300	4399
SDPR	36	89	133	47	12	402	380	264
SEC11C	12709	1415	2510	2150	2361	7061	10183	2594
SEL1L3	631	169	1871	436	692	1874	1437	238
SELENBP1	2534	71	3435	41	476	1420	1488	264
SELK	4566	1536	2383	3023	5776	6160	7610	3963
SELM	8166	980	1986	738	3088	2128	11190	4060
SELP	2	0	6	4	11	0	7	25
SEPP1	6519	3892	3090	9838	1114	6499	8332	4874
SEPT1	1135	310	929	427	161	427	459	190
SEPT2	1972	822	1769	1188	5566	3935	3394	1943
SEPW1	6306	1852	10363	4160	10262	14395	24399	4630
SERPINA1	1664	1165	644	13126	13482	1939	1204	2373
SERPINB6	2802	903	1170	1452	3731	1398	4730	1758
SERPINF1	424	834	261	1229	261	125	8646	2736
SERPING1	496	1240	198	317	199	366	886	1272
SERPINH1	1982	777	1650	377	1668	2252	3674	2196
SFN	805	205	1786	169	14209	1071	6760	774
SFRP2	5	118	74	10	287	14	13	803
SFRP4	153	250	55	17	2	32	246	1971
SFTA1P	7	142	2751	22	386	743	87	290
SFTA2	7673	5	20640	1701	44803	9931	5780	816
SFTA3	1324	69	7334	50	2817	4268	2886	493
SFTPA1	0	230	84228	0	168	6	3894	39
SFTPA2	10	120	78688	1	660	54	5089	41
SFTPB	41	3476	28241	32	1	14825	25584	2060
SFTPC	3	6	914297	6	0	0	0	222
SFTPD	40	5	4096	5	149	26	23	29
SGK1	1084	1658	823	4065	1910	733	2583	2613
SH3BP5	252	376	462	593	402	1980	603	542
SKAP1	1010	206	354	275	578	81	1636	86
SLA	154	617	588	987	55	78	557	1083
SLC11A1	308	623	344	1229	268	183	777	1810
SLC18A2	3	4	790	111	0	2	1	4
SLC22A31	541	72	2150	0	1161	558	2366	243
SLC34A2	43	4	14142	660	113	11146	4718	1422
SLC38A1	1062	221	508	342	691	2320	2967	529
SLC45A3	54	41	201	155	35	43	150	56
SLC7A7	415	711	367	1160	107	110	1034	1099
SLC9A3R2	8083	134	779	118	3429	3449	3892	1022
SLCO2A1	461	19	415	9	935	267	175	215
SLPI	45531	1054	16559	2933	1144	13167	6146	1573
SMAP2	757	431	388	898	336	1651	3435	792
SMARCB1	1329	451	658	675	2676	2851	1574	945
SMDT1	5248	1111	3002	2878	7647	8740	9686	2944
SMIM14	3307	458	2393	809	3980	8391	1971	1167
SMIM22	8853	306	4190	471	7428	6774	20202	2368
SMYD3	533	92	452	193	1044	329	2830	887
SNCG	2734	220	7	2	4835	14	381	512
SNX10	408	856	670	1496	594	252	996	1017
SOCS1	398	239	521	682	372	332	672	461
SOCS3	1843	2060	1728	3580	1439	4601	6312	2830
SOD2	3447	4807	1846	8177	2473	3099	6068	8144
SOD3	44824	274	409	12	1528	20	1029	1099
SOX18	14	5	3	6	14	16	221	148
SOX4	6736	556	1481	1937	32568	11286	13746	5741
SPARC	1516	3224	539	958	101	958	11094	10209
SPARCL1	1046	674	75	116	59	392	3732	1622
SPI1	615	1303	1205	2773	176	202	2206	2912
SPINT1	3185	237	1074	456	7105	6901	3136	1951
SPINT2	14715	1244	13688	1976	28023	15312	18795	11914
SPOCK2	122	179	370	404	52	57	202	198
SPON2	136	206	130	390	2120	1471	1745	370
SPP1	15384	57677	18005	181856	3900	7465	5718	84900
SPTBN1	1768	248	1046	315	3774	2352	4207	675
SRGN	5463	10246	10288	18687	1069	1032	15972	19976
SRSF2	3843	1837	2748	3275	5807	5032	4766	3272
SRSF5	3540	2073	3089	4338	10638	8171	4094	2885
SRSF7	3360	1719	2018	3165	6311	4081	6724	2616
SSPN	289	323	73	103	290	48	107	139
SSR4	20555	3684	28515	6107	52858	21527	99645	13559
STAT4	64	68	81	192	132	12	72	101
STEAP4	462	33	854	296	234	406	366	559
STK17A	1821	672	1220	964	2024	711	1827	656
STK17B	456	429	793	1229	797	1845	1091	658
STK4	686	393	835	957	840	874	748	995
STMN1	2994	1547	1540	4817	4072	3771	6934	5806
STOM	1644	787	1189	1195	1512	496	3239	1630
STX11	216	323	231	587	117	81	493	409
STX3	1344	156	645	347	1088	923	1536	404
STXBP6	46	87	102	196	0	53	9	28
SVOPL	45	0	280	31	36	36	1	1
SYAP1	3003	404	770	958	4476	2577	3180	1166
SYNE2	280	226	329	357	5834	2013	798	360
TACSTD2	5514	1106	3003	45	5993	10140	4516	2923
TAF1D	2444	1089	1149	1247	7767	2520	6343	1513
TAGAP	163	417	203	676	80	56	484	235
TAGLN	898	1296	232	260	1012	478	5606	3804
TBC1D10C	142	384	553	579	52	40	143	161
TCEA1	2340	604	2063	1130	4236	10559	4058	1260
TCF21	0	0	0	0	0	0	2	0
TCF4	301	414	203	675	36	808	1106	647
TCF7	149	100	254	309	202	93	157	127
TERF2IP	978	690	1530	1167	2806	2395	2277	992
TESC	1290	98	904	182	760	2223	7010	264
TFPI	735	2449	2913	293	3227	2292	1437	644
TFPI2	7	60	51	4	509	232	1483	524
TGFBI	677	1812	702	3481	2342	2407	1745	5854
TGFBR2	295	364	2336	363	297	1312	854	649
TGM2	2058	630	677	97	1568	232	2027	3372
THBS2	68	148	19	53	8	14	88	760
THY1	247	254	26	22	3	249	2105	1011
TIE1	21	5	52	14	9	15	166	46
TIGIT	101	311	356	219	45	15	86	77
TIMP1	24883	10059	9177	5650	50650	9216	20034	124300
TIMP2	592	883	490	1704	1115	1766	1385	1920
TIMP3	257	529	284	27	322	19161	1901	495
TINAGL1	214	115	149	13	2747	25	1412	625
TIPARP	329	241	271	474	427	668	966	399
TM4SF1	443	673	1598	279	15483	1839	3089	2657
TM4SF18	28	19	1185	0	1875	55	341	113
TMC5	1590	187	812	367	195	10047	15451	1297
TMEM100	9	10	20	1	17	0	22	95
TMEM176A	185	505	316	893	53	40066	6231	156
TMEM176B	393	1079	688	1219	140	37980	7308	1290
TMEM233	91	2	128	14	1	17	2685	7
TMEM243	2329	369	2756	609	1236	2341	1946	747
TNFAIP3	1411	1896	570	4381	724	237	2232	2978
TNFRSF12A	7427	481	1865	795	14389	5086	2557	1465
TNFRSF13B	13	13	85	15	1	4	11	12
TNFRSF13C	19	7	74	70	6	6	9	7
TNFRSF1B	200	424	360	821	123	72	484	583
